case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
862,TX,Yes (All),1975,Somewhat disapprove,Approve,Very,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,(Dont know),Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Very,Somewhat,Somewhat,Very,Favor,Favor,Too little,A great deal,Less,Will be stronger in the future / Pandemic will be contained,Yes,Very,No,(Wont say _ Refused),(Graduate degree),Moderate, , ,Dont lean either way,Democrat,Strong, , ,"No, no home telephone", , ,No,White,(Dont know_refused),Suburban,"$75,000 to under $100,000",TX,Female,30-45,45,Democrat,"MODERATE,",no,South,Clinton 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,.988428601,Cell
863,TX,Yes (All),1950,Strongly approve,Disapprove,Very,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,(Dont know),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Not very,Not very,Not very,Somewhat,Favor,Favor,Too little,Somewhat,More,No silver lining,No,Somewhat,No,Democrat Hillary Clinton,(High school graduate_GED_High school equivalency),Moderate, , ,(Dont know),Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,Yes,Suburban,"Under $30,000",TX,Female,65+,70,Democrat,"MODERATE,",yes,South,Close,Moderate,Moderate,Somewhat Democrat,Lean Democarat,.819811431,Cell
865,OH,Yes (All),1970,Somewhat approve,Approve,Very,Very,Strongly approve,Strongly approve,Strongly approve,(Dont know),(Dont know),Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,(Dont know),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Very,Very,Very,Favor,Favor,(Dont know),Somewhat,No difference,No silver lining,No,Very,No,Or did things come up to keep you from voting?,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$50,000 to under $75,000",OH,Female,46-54,50,"Republican,","MODERATE,",no,Midwest,Trump 10%+,Moderate,Moderate,Somewhat Republican,Lean Republican,1.176935894,Cell
866,SC,Yes (All),1972,Strongly approve,(Dont know),Somewhat,Very,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Wrong direction,(Dont know),Reacting appropriately,(Dont know),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,(Dont know),Not sure / Refused,No,Not very,Yes,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,Yes,Rural,"$30,000 to under $50,000",SC,Female,46-54,48,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.32436671,Cell
867,TN,Yes (All),1996,Strongly approve,Approve,Very,Somewhat,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Very,Favor,Favor,Just about right,A great deal,More,Learn valuable lessons / Chance for reflection,No,Somewhat,Yes,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Suburban,"$100,000 or more",TN,Female,18-29,24,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.715605385,Cell
868,NH,Yes (All),1956,Strongly disapprove,Disapprove,Very,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Somewhat,Somewhat,Favor,Favor,Too little,A great deal,More,Will hurt Trump s reelection / Trump negative,No,Somewhat,No,Democrat Hillary Clinton,(2-year degree_community college degree),Moderate, , ,Lean liberal,Democrat,Strong, , ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Urban,"$100,000 or more",NH,Female,55-64,64,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Northeast,Close,Lean Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.922762348,Cell
869,OR,Yes (All),1954,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Somewhat,Favor,Favor,Too little,Not much,More,Will hurt Trump s reelection / Trump negative,No,Very,No,Democrat Hillary Clinton,"(Some college, no degree)",Liberal,Very liberal, , ,Democrat,Strong, , ,"Yes, has a home telephone", ,Very few or none received on a cell phone?,No,White,No,Suburban,"Under $30,000",OR,Female,65+,66,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,.819811431,Cell
870,WA,Yes (All),1986,Strongly disapprove,Disapprove,Somewhat,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,(Dont know),(Dont know),Somewhat disapprove,(Neither),Worst is over,Reacting appropriately,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Oppose,Just about right,Not much,No difference,Giving the environment a break / Less pollution,Yes,Somewhat,Yes,(Someone else),(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,No,Urban,"$50,000 to under $75,000",WA,Female,30-45,34,Independent + other,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Independent,Independent,.980125784,Cell
871,OH,Yes (All),1956,Strongly approve,Approve,Very,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,(Dont know),Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Not at all,Somewhat,Very,Very,Favor,Favor,Just about right,A great deal,More,Preparation for the future / Better prepared for future outbreaks,No,Somewhat,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Very few or none received on a cell phone?,No,White,No,Urban,"Under $30,000",OH,Female,55-64,64,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.811244179,Cell
872,MI,Yes (All),1959,Strongly disapprove,Approve,Very,Very,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly approve,(Neither),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Very,Very,Favor,Favor,Just about right,A great deal,More,Bringing people together / Sense of community,Yes,Very,Yes,Democrat Hillary Clinton,(2-year degree_community college degree),Liberal,Very liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Rural,"Under $30,000",MI,Female,55-64,61,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Clinton 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,.900801237,Cell
874,NM,Yes (All),1944,Strongly disapprove,Approve,Very,Somewhat,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Somewhat,Somewhat,Not very,Favor,Favor,Too little,A great deal,No difference,Bringing people together / Sense of community,No,Somewhat,No,Democrat Hillary Clinton,(Graduate degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Urban,"Under $30,000",NM,Female,65+,76,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.746440717,Cell
875,IN,Yes (All),1947,Somewhat disapprove,Disapprove,Very,Somewhat,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,(Dont know),Wrong direction,Worst is yet to come,(Dont know),Federal government could have slowed the spread of the virus,"No, does not describe",(Dont know),(Dont know),"No, does not describe",Very,Somewhat,Very,Very,Very,Favor,Favor,(Dont know),Somewhat,More,Spending more time with family,No,Very,No,Democrat Hillary Clinton,(Graduate degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,Yes,Suburban,"$100,000 or more",IN,Female,65+,73,Independent + other,"MODERATE,",yes,Midwest,Trump 10%+,Moderate,Moderate,Independent,Independent,.736575474,Cell
877,MI,Yes (All),1941,Strongly approve,Approve,Very,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat disapprove,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not very,Not at all,Somewhat,Somewhat,Somewhat,Favor,Favor,Just about right,Somewhat,More,Economic opportunities / Still have a job / Saving money,No,Very,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Suburban,"$30,000 to under $50,000",MI,Female,65+,79,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Close,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.819811431,Cell
879,OR,Yes (All),1961,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat approve,Strongly approve,(Neither),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Somewhat,Somewhat,Favor,Favor,Too little,A great deal,No difference,Spending more time with family,No,Very,Yes,Democrat Hillary Clinton,(2-year degree_community college degree),Liberal,Somewhat liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Small town,"$50,000 to under $75,000",OR,Female,55-64,59,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Close,Somewhat Liberal,Somewhat Liberal,Strong Democrat,Strong Democarat,.910566772,Cell
880,IL,Yes (All),1964,Strongly disapprove,Disapprove,Very,Somewhat,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Somewhat disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Very,Favor,Favor,(Dont know),Somewhat,No difference,Spending more time with family,Yes,Somewhat,No,(Someone else),(4-year degree_traditional college degree),Moderate, , ,Lean conservative,Neither, , ,Lean Republican,"No, no home telephone", , ,No,White,Yes,Suburban,"$100,000 or more",IL,Female,55-64,56,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Clinton 10%+,Lean Conservative,Somewhat Conservative,Lean Republican,Lean Republican,.80052247,Cell
881,TN,Yes (All),1962,Strongly disapprove,(Dont know),Somewhat,Somewhat,Somewhat approve,(Dont know),Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,(Dont know),Worst is yet to come,(Dont know),(Mixed),(Dont know),(Dont know),"No, does not describe",(Dont know),Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,Too little,Somewhat,(Mixed),Will be stronger in the future / Pandemic will be contained,Yes,Very,No,Or did things come up to keep you from voting?,"(Some high school, no degree)",Moderate, , ,Dont lean either way,Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,Yes,Small town,"Under $30,000",TN,Female,55-64,58,Democrat,"MODERATE,",yes,South,Trump 10%+,Moderate,Moderate,Somewhat Democrat,Lean Democarat,.910566772,Cell
882,OK,Yes (All),1947,Strongly approve,Disapprove,Very,Not very,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Somewhat,Not very,Somewhat,Favor,Favor,(Dont know),Somewhat,No difference,Religious value / Increase in faith,(Dont know),Not very,No,Republican Donald Trump,"(Vocational, technical school)",Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Suburban,"$30,000 to under $50,000",OK,Female,65+,73,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.819811431,Cell
883,CO,Yes (All),1993,Somewhat disapprove,Approve,Very,Somewhat,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat approve,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Somewhat,Somewhat,Somewhat,Somewhat,Very,Favor,Favor,Too little,A great deal,No difference,Bringing people together / Sense of community,Yes,Very,No,Democrat Hillary Clinton,(Graduate degree),Liberal,Very liberal, , ,Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,No,Urban,"$75,000 to under $100,000",CO,Female,18-29,27,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Trump 10%+,Very Liberal,Very Liberal,Somewhat Democrat,Lean Democarat,1.562063744,Cell
884,GA,Yes (All),1962,Strongly approve,Approve,Very,Very,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,(Dont know),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Too much,A great deal,No difference,Spending more time with family,No,Very,Yes,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Urban,"$30,000 to under $50,000",GA,Female,55-64,58,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.922762348,Cell
885,IN,Yes (All),1995,Strongly disapprove,Disapprove,Very,Not very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,More,Preparation for the future / Better prepared for future outbreaks,No,Somewhat,Yes,Democrat Hillary Clinton,(Graduate degree),Liberal,Very liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Urban,"$50,000 to under $75,000",IN,Female,18-29,25,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Clinton 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,1.562063744,Cell
889,NE,Yes (All),1955,Strongly approve,Disapprove,Somewhat,Somewhat,Strongly approve,Strongly approve,Somewhat approve,Somewhat disapprove,Somewhat approve,Strongly approve,Right direction,(Dont know),Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Not very,Very,Somewhat,(Dont know),Favor,Just about right,Somewhat,More,Learn valuable lessons / Chance for reflection,No,Somewhat,No,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Rural,"$100,000 or more",NE,Female,65+,65,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.811019218,Cell
890,MN,Yes (All),1997,Strongly approve,Approve,Somewhat,Somewhat,Somewhat approve,Strongly approve,(Dont know),Somewhat approve,(Dont know),Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not at all,Very,Very,Very,Favor,Favor,Just about right,A great deal,More,Learn valuable lessons / Chance for reflection,No,Somewhat,Yes,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$75,000 to under $100,000",MN,Female,18-29,23,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,1.715605385,Cell
891,OH,Yes (All),1951,Strongly approve,Approve,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Very,Very,Very,Favor,Favor,Just about right,A great deal,Less,No silver lining,No,Very,No,Democrat Hillary Clinton,(2-year degree_community college degree),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,"$50,000 to under $75,000",OH,Female,65+,69,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Clinton 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.819811431,Cell
892,MO,Yes (All),1947,Strongly approve,Disapprove,Somewhat,Somewhat,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Not very,Favor,Favor,Just about right,Somewhat,No difference,Religious value / Increase in faith,No,Somewhat,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Democrat,Not so strong, , ,"No, no home telephone", , ,No,White,Yes,Suburban,"$30,000 to under $50,000",MO,Female,65+,73,Democrat,"MODERATE,",yes,Midwest,Clinton 10%+,Moderate,Moderate,Somewhat Democrat,Lean Democarat,.819811431,Cell
893,CA,Yes (All),1958,Strongly approve,Approve,Somewhat,Not at all,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Not very,Not very,Not very,Oppose,Oppose,Just about right,Somewhat,More,Religious value / Increase in faith,No,Not at all,Yes,Republican Donald Trump,"(Vocational, technical school)",Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Rural,"$100,000 or more",CA,Female,55-64,62,"Republican,",CONSRV (very + somewhat conservative),no,West,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.900801237,Cell
894,GA,Yes (All),1945,Strongly approve,Approve,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Somewhat,Very,Favor,Favor,Just about right,A great deal,No difference,Will be stronger in the future / Pandemic will be contained,No,Somewhat,Yes,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Rural,"Under $30,000",GA,Female,65+,75,"Republican,",CONSRV (very + somewhat conservative),yes,South,Close,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.811019218,Cell
895,VA,Yes (All),1963,Strongly approve,Approve,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,(Dont know),Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,Just about right,A great deal,More,Other,Yes,Very,No,Democrat Hillary Clinton,"(Some high school, no degree)",Moderate, , ,Lean conservative,Democrat,Strong, , ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,Yes,Suburban,"$100,000 or more",VA,Female,55-64,57,Democrat,CONSRV (very + somewhat conservative),yes,South,Clinton 10%+,Lean Conservative,Somewhat Conservative,Strong Democrat,Strong Democarat,.910566772,Cell
896,SC,Yes (All),1959,Strongly approve,Approve,Very,Very,Strongly disapprove,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly disapprove,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Just about right,A great deal,Less,No silver lining,No,Very,No,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Suburban,"$75,000 to under $100,000",SC,Female,55-64,61,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.910566772,Cell
897,GA,Yes (All),1963,Strongly disapprove,Approve,Very,Not very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,(Dont know),Strongly disapprove,(Neither),Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,(Dont know),Just about right,Somewhat,No difference,Economic opportunities / Still have a job / Saving money,No,Not very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Somewhat liberal, , ,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,White,No,Urban,"$75,000 to under $100,000",GA,Female,55-64,57,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,South,Clinton 10%+,Somewhat Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,.811244179,Cell
898,NC,Yes (All),1944,Somewhat approve,Disapprove,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Very,Not at all,Very,Favor,Favor,Just about right,A great deal,More,Learn valuable lessons / Chance for reflection,No,Very,No,(Someone else),(Graduate degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"Yes, has a home telephone", ,Very few or none received on a cell phone?,No,White,No,Small town,"Under $30,000",NC,Female,65+,76,"Republican,",CONSRV (very + somewhat conservative),no,South,Trump 10%+,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.736575474,Cell
901,CA,Yes (All),1959,Strongly approve,Disapprove,Very,Somewhat,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not very,Not very,Not very,Somewhat,Favor,Favor,Just about right,Somewhat,More,Religious value / Increase in faith,No,Somewhat,No,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Neither, , ,Lean Republican,"No, no home telephone", , ,No,White,Yes,Urban,"$30,000 to under $50,000",CA,Female,55-64,61,"Republican,",CONSRV (very + somewhat conservative),yes,West,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Lean Republican,Lean Republican,.922762348,Cell
903,CA,Yes (All),1958,Somewhat approve,(Dont know),Somewhat,Somewhat,Somewhat approve,Somewhat approve,(Dont know),Somewhat approve,(Dont know),Somewhat approve,Right direction,Worst is yet to come,(Dont know),(Mixed),"Yes, describes","Yes, describes",(Dont know),"Yes, describes",Very,Somewhat,Somewhat,Somewhat,Very,Favor,Favor,Just about right,Somewhat,More,Spending more time with family,No,Somewhat,Yes,Republican Donald Trump,"(Some college, no degree)",Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Suburban,"$75,000 to under $100,000",CA,Female,55-64,62,"Republican,",CONSRV (very + somewhat conservative),yes,West,Close,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.910566772,Cell
904,NE,Yes (All),1950,Somewhat approve,Approve,Somewhat,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not at all,Not very,Not very,Not very,Favor,Favor,Just about right,Somewhat,No difference,Economic opportunities / Still have a job / Saving money,No,Somewhat,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Rural,"Under $30,000",NE,Female,65+,70,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.811019218,Cell
905,OK,Yes (All),1953,Strongly disapprove,Approve,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat disapprove,Strongly disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,More,Bringing people together / Sense of community,(Dont know),Very,No,Democrat Hillary Clinton,"(Some college, no degree)",Liberal,Very liberal, , ,Democrat,Strong, , ,"No, no home telephone", , ,No,White,No,Urban,"Under $30,000",OK,Female,65+,67,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,South,Trump 10%+,Very Liberal,Very Liberal,Strong Democrat,Strong Democarat,.830791485,Cell
